Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
12.6000       -451.5503    -453.6380       2.0877   260.5
12.6500       -451.5160    -454.0580       2.5420   317.2
12.7000       -451.4633    -453.8189       2.3556   293.9
12.7500       -451.5421    -454.3689       2.8269   352.7
12.8000       -451.5943    -454.1266       2.5323   316.0
12.8500       -451.6430    -453.7098       2.0668   257.9
12.9000       -451.8255    -454.2844       2.4589   306.8
12.9500       -451.7760    -453.8517       2.0757   259.0
13.0000       -451.3477    -454.4357       3.0880   385.3
13.0500       -451.1903    -453.6622       2.4719   308.4
13.1000       -451.4713    -453.9907       2.5193   314.4
13.1500       -451.3980    -453.8022       2.4042   300.0
13.2000       -451.8511    -454.0537       2.2027   274.8
13.2500       -451.4916    -454.1065       2.6149   326.3
13.3000       -451.4264    -453.9892       2.5628   319.8
13.3500       -451.0697    -453.5278       2.4581   306.7
13.4000       -451.3297    -453.9381       2.6084   325.5
13.4500       -451.5833    -454.1100       2.5267   315.3
13.5000       -451.4473    -454.0085       2.5612   319.6
13.5500       -451.5305    -453.9282       2.3977   299.2
13.6000       -451.1617    -453.7595       2.5978   324.2
13.6500       -450.7178    -453.6326       2.9148   363.7
13.7000       -450.9236    -453.4510       2.5274   315.4
13.7500       -450.9502    -453.3109       2.3606   294.6
13.8000       -451.0189    -453.4348       2.4159   301.5
13.8500       -451.3310    -453.9165       2.5854   322.6
13.9000       -451.8514    -454.2881       2.4367   304.1
13.9500       -451.7525    -454.0024       2.2499   280.7
14.0000       -451.8519    -454.1886       2.3367   291.6
14.0500       -452.1732    -454.3067       2.1335   266.2
14.1000       -451.7211    -454.0795       2.3584   294.3
14.1500       -451.5450    -454.2271       2.6821   334.7
14.2000       -451.5332    -453.6855       2.1523   268.6
14.2500       -451.3538    -453.7119       2.3581   294.2
14.3000       -451.3955    -453.6841       2.2886   285.6
14.3500       -451.2934    -454.0014       2.7080   337.9
14.4000       -451.5604    -454.0998       2.5394   316.9
14.4500       -451.8348    -454.1802       2.3454   292.7
14.5000       -451.3953    -453.9790       2.5838   322.4
14.5500       -451.2003    -453.4785       2.2782   284.3
14.6000       -450.9068    -453.4873       2.5805   322.0
14.6500       -451.3336    -453.8367       2.5031   312.3
14.7000       -451.1772    -453.9347       2.7575   344.1
14.7500       -451.1420    -453.7505       2.6086   325.5
14.8000       -451.4204    -454.2520       2.8316   353.3
14.8500       -451.8437    -454.3690       2.5253   315.1
14.9000       -451.5371    -454.0273       2.4902   310.7
14.9500       -451.4183    -454.0247       2.6064   325.2
15.0000       -451.4953    -453.7526       2.2572   281.7
15.0500       -451.4285    -454.1260       2.6975   336.6
15.1000       -451.4972    -453.7297       2.2326   278.6
15.1500       -451.7759    -454.0475       2.2716   283.5
15.2000       -451.7438    -454.2686       2.5247   315.0
15.2500       -451.8975    -454.2642       2.3666   295.3
15.3000       -451.4420    -454.0158       2.5739   321.2
15.3500       -450.9293    -453.8952       2.9659   370.1
15.4000       -450.7999    -453.8937       3.0938   386.0
15.4500       -451.0362    -453.4839       2.4477   305.4
15.5000       -451.1910    -454.0349       2.8439   354.9
15.5500       -451.6407    -454.2056       2.5649   320.0
15.6000       -451.4719    -453.8813       2.4095   300.7
15.6500       -451.4535    -453.7309       2.2774   284.2
15.7000       -451.9169    -454.0376       2.1207   264.6
15.7500       -451.7443    -454.0944       2.3501   293.2
15.8000       -451.3231    -453.6057       2.2825   284.8
15.8500       -451.2308    -453.5393       2.3085   288.1
15.9000       -451.3362    -453.7540       2.4178   301.7
15.9500       -451.3262    -453.9598       2.6336   328.6
16.0000       -452.0677    -454.3262       2.2585   281.8
16.0500       -451.8707    -454.1975       2.3268   290.3
16.1000       -452.1557    -454.3706       2.2149   276.4
16.1500       -452.0469    -454.1196       2.0727   258.6
16.2000       -451.9636    -454.1978       2.2342   278.8
16.2500       -452.1927    -454.4146       2.2219   277.3
16.3000       -452.1084    -454.4492       2.3409   292.1
16.3500       -451.6055    -453.8835       2.2780   284.3
16.4000       -451.3001    -454.0627       2.7625   344.7
16.4500       -450.8461    -453.4695       2.6234   327.3
16.5000       -450.4323    -453.5722       3.1400   391.8
16.5500       -451.2902    -453.3933       2.1031   262.4
16.6000       -451.4253    -454.0001       2.5748   321.3
16.6500       -451.5701    -453.7741       2.2040   275.0
16.7000       -451.4958    -453.8111       2.3153   288.9
16.7500       -451.6750    -453.8491       2.1741   271.3
16.8000       -451.4119    -453.9066       2.4947   311.3
16.8500       -451.0941    -453.8152       2.7211   339.5
16.9000       -451.1054    -453.7778       2.6724   333.5
16.9500       -451.3402    -453.7644       2.4242   302.5
17.0000       -451.2983    -453.9048       2.6066   325.2
17.0500       -451.3743    -453.8473       2.4729   308.6
17.1000       -451.2743    -453.8443       2.5700   320.7
17.1500       -451.0707    -453.7860       2.7154   338.8
17.2000       -451.5131    -454.0388       2.5257   315.2
17.2500       -451.5617    -454.0989       2.5372   316.6
17.3000       -451.8381    -454.0549       2.2168   276.6
17.3500       -451.6544    -454.3071       2.6527   331.0
17.4000       -451.6581    -454.0043       2.3462   292.8
17.4500       -451.9944    -454.6187       2.6242   327.5
17.5000       -451.8184    -454.1721       2.3538   293.7
17.5500       -451.6262    -454.3268       2.7006   337.0
17.6000       -451.7425    -454.5275       2.7849   347.5
17.6500       -451.7458    -453.8988       2.1530   268.6
17.7000       -451.7935    -454.0592       2.2657   282.7
17.7500       -451.8492    -453.8705       2.0212   252.2
17.8000       -451.6825    -453.9390       2.2564   281.6
17.8500       -451.8153    -453.9214       2.1061   262.8
17.9000       -451.6572    -454.2195       2.5623   319.7
17.9500       -452.2038    -454.2066       2.0028   249.9
18.0000       -452.2078    -454.6245       2.4166   301.5
18.0500       -452.1752    -454.4077       2.2326   278.6
18.1000       -452.0008    -454.1123       2.1115   263.5
18.1500       -452.0003    -454.2580       2.2577   281.7
18.2000       -451.7463    -454.2794       2.5331   316.1
18.2500       -452.0201    -454.1276       2.1075   263.0
18.3000       -451.9964    -454.3594       2.3631   294.9
18.3500       -451.7449    -454.2318       2.4869   310.3
18.4000       -451.3313    -454.0123       2.6810   334.5
18.4500       -451.0298    -453.5500       2.5203   314.5
18.5000       -451.0543    -453.8545       2.8002   349.4
18.5500       -451.1441    -453.7863       2.6421   329.7
18.6000       -451.3304    -453.9419       2.6115   325.9
18.6500       -451.4518    -453.7370       2.2852   285.1
18.7000       -451.5798    -454.3604       2.7806   347.0
18.7500       -451.1690    -453.5097       2.3407   292.1
18.8000       -450.9436    -453.7985       2.8548   356.2
18.8500       -451.4228    -453.9898       2.5671   320.3
18.9000       -451.7786    -453.8942       2.1156   264.0
18.9500       -451.6001    -454.0381       2.4381   304.2
19.0000       -451.4077    -453.8358       2.4281   303.0
19.0500       -451.5524    -454.2387       2.6863   335.2
19.1000       -451.3648    -453.6315       2.2667   282.8
19.1500       -451.6933    -454.0569       2.3635   294.9
19.2000       -451.7049    -454.1285       2.4236   302.4
19.2500       -451.0772    -453.7939       2.7166   339.0
19.3000       -451.2140    -453.8737       2.6596   331.9
19.3500       -451.0976    -453.9838       2.8862   360.1
19.4000       -451.6002    -453.9916       2.3914   298.4
19.4500       -451.9145    -453.8635       1.9489   243.2
19.5000       -452.2118    -454.4906       2.2788   284.3
19.5500       -451.7476    -453.9226       2.1750   271.4
19.6000       -451.8751    -454.2487       2.3736   296.2
19.6500       -451.8331    -454.6153       2.7823   347.2
19.7000       -451.8949    -454.1918       2.2968   286.6
19.7500       -451.6464    -454.1153       2.4689   308.1
19.8000       -451.6649    -454.1338       2.4689   308.1
19.8500       -452.1952    -454.5119       2.3167   289.1
19.9000       -452.0778    -454.2018       2.1240   265.0
19.9500       -451.8130    -454.3333       2.5203   314.5
20.0000       -451.4654    -453.5686       2.1032   262.4
20.0500       -451.7935    -453.8234       2.0299   253.3
20.1000       -451.8686    -454.2733       2.4047   300.1
20.1500       -452.2711    -454.1711       1.8999   237.1
20.2000       -451.9984    -454.0576       2.0592   256.9
20.2500       -452.1142    -454.2262       2.1120   263.5
20.3000       -451.6135    -454.0307       2.4172   301.6
20.3500       -451.5663    -454.1820       2.6157   326.4
20.4000       -451.5744    -454.1215       2.5470   317.8
20.4500       -451.5181    -454.1841       2.6660   332.7
20.5000       -451.5351    -453.7712       2.2361   279.0
20.5500       -452.0220    -454.3211       2.2991   286.9
20.6000       -452.2640    -454.2366       1.9726   246.1
20.6500       -451.5965    -453.9853       2.3888   298.1
20.7000       -451.5392    -454.1187       2.5796   321.9
20.7500       -451.5365    -453.6527       2.1162   264.1
20.8000       -451.8906    -454.4958       2.6052   325.1
20.8500       -452.2712    -454.1682       1.8970   236.7
20.9000       -452.1709    -454.1980       2.0271   252.9
20.9500       -451.2505    -453.5892       2.3387   291.8
21.0000       -451.3011    -453.7191       2.4180   301.7
21.0500       -450.9773    -453.7715       2.7942   348.7
21.1000       -451.3578    -454.0033       2.6455   330.1
21.1500       -451.8154    -453.9796       2.1642   270.1
21.2000       -451.7728    -454.1906       2.4178   301.7
21.2500       -451.4310    -453.8273       2.3963   299.0
21.3000       -451.6396    -453.9502       2.3106   288.3
21.3500       -451.9653    -454.4127       2.4474   305.4
21.4000       -451.9506    -454.2194       2.2688   283.1
21.4500       -451.6323    -453.9961       2.3638   295.0
21.5000       -451.3796    -453.9141       2.5345   316.2
21.5500       -451.5698    -453.8525       2.2827   284.8
21.6000       -452.0546    -454.1448       2.0902   260.8
21.6500       -451.5529    -454.1058       2.5530   318.6
21.7000       -451.9786    -454.3377       2.3591   294.4
21.7500       -451.6667    -454.3917       2.7250   340.0
21.8000       -451.5078    -453.9601       2.4523   306.0
21.8500       -451.9816    -454.1748       2.1932   273.7
21.9000       -451.9431    -454.2995       2.3564   294.0
21.9500       -452.4225    -454.4108       1.9883   248.1
22.0000       -451.9400    -453.9291       1.9891   248.2
22.0500       -451.0411    -453.9296       2.8885   360.4
22.1000       -451.0931    -453.6201       2.5270   315.3
22.1500       -451.1083    -453.5373       2.4290   303.1
22.2000       -451.1498    -453.7232       2.5734   321.1
22.2500       -451.8772    -454.2142       2.3371   291.6
22.3000       -451.3631    -453.9072       2.5441   317.4
22.3500       -451.3513    -453.9390       2.5877   322.9
22.4000       -451.3210    -454.0306       2.7096   338.1
22.4500       -451.4256    -454.1329       2.7073   337.8
22.5000       -452.1306    -454.3640       2.2334   278.7
22.5500       -451.6935    -453.9582       2.2647   282.6
22.6000       -451.7605    -454.0750       2.3145   288.8
22.6500       -452.0595    -454.3089       2.2495   280.7
22.7000       -451.9494    -454.4432       2.4938   311.2
22.7500       -451.6768    -454.2336       2.5568   319.0
22.8000       -451.8047    -453.8351       2.0303   253.3
22.8500       -451.7033    -454.3647       2.6614   332.1
22.9000       -451.4636    -453.9608       2.4971   311.6
22.9500       -451.8146    -454.3005       2.4859   310.2
23.0000       -451.6980    -454.1502       2.4522   306.0
23.0500       -451.8999    -454.1093       2.2094   275.7
23.1000       -451.3503    -453.7991       2.4488   305.6
23.1500       -451.8431    -454.2131       2.3700   295.7
23.2000       -452.1088    -454.2825       2.1737   271.2
23.2500       -452.0929    -454.3531       2.2602   282.0
23.3000       -452.0015    -454.4245       2.4230   302.3
23.3500       -451.8104    -454.2155       2.4051   300.1
23.4000       -451.6669    -454.3633       2.6964   336.5
23.4500       -451.5850    -454.3963       2.8113   350.8
23.5000       -451.8358    -454.2912       2.4554   306.4
23.5500       -451.9181    -454.1143       2.1962   274.0
23.6000       -451.9915    -454.4604       2.4689   308.1
23.6500       -451.8826    -454.0327       2.1501   268.3
23.7000       -451.5579    -453.8047       2.2468   280.4
23.7500       -450.8384    -453.7989       2.9605   369.4
23.8000       -451.6174    -453.8910       2.2736   283.7
23.8500       -451.6609    -453.8469       2.1860   272.8
23.9000       -451.5908    -453.9504       2.3597   294.4
23.9500       -451.7370    -453.9825       2.2455   280.2
24.0000       -451.8284    -454.1998       2.3714   295.9
24.0500       -452.0255    -454.2377       2.2122   276.0
24.1000       -451.2262    -453.9067       2.6805   334.5
24.1500       -451.5132    -454.1208       2.6076   325.4
24.2000       -452.0625    -454.3808       2.3183   289.3
24.2500       -451.3269    -453.8400       2.5130   313.6
24.3000       -451.3025    -453.8238       2.5213   314.6
24.3500       -450.9254    -454.0633       3.1379   391.5
24.4000       -450.5601    -453.1832       2.6231   327.3
24.4500       -450.9597    -453.5184       2.5587   319.3
24.5000       -451.5113    -453.7683       2.2570   281.6
24.5500       -451.1983    -453.9180       2.7197   339.4
24.6000       -451.1210    -453.7111       2.5901   323.2
24.6500       -451.6539    -454.0676       2.4138   301.2
24.7000       -452.1697    -454.3809       2.2112   275.9
24.7500       -451.6093    -453.9595       2.3502   293.3
24.8000       -451.6567    -454.4482       2.7915   348.3
24.8500       -451.9457    -454.1149       2.1692   270.7
24.9000       -451.4168    -454.2493       2.8325   353.4
24.9500       -451.4913    -454.0661       2.5748   321.3
25.0000       -451.5527    -454.1867       2.6340   328.7
25.0500       -451.6678    -453.9227       2.2549   281.4
25.1000       -451.7799    -453.9894       2.2095   275.7
25.1500       -451.9738    -454.2044       2.2305   278.3
25.2000       -451.4011    -453.8058       2.4047   300.1
25.2500       -451.3741    -454.0368       2.6627   332.3
25.3000       -451.5206    -454.3283       2.8077   350.3
25.3500       -451.1585    -453.8360       2.6775   334.1
